index,image_link,group_id,entity_name
1,https://m.media-amazon.com/images/I/110EibNyclL.jpg,156839,height
2,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,height
3,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,height
4,https://m.media-amazon.com/images/I/11lshEUmCrL.jpg,156839,height
5,https://m.media-amazon.com/images/I/21-LmSmehZL.jpg,478357,height
6,https://m.media-amazon.com/images/I/213oP6n7jtL.jpg,953313,item_weight
7,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,height
8,https://m.media-amazon.com/images/I/216rjgJHAeL.jpg,279307,item_weight
9,https://m.media-amazon.com/images/I/2174yonQBtL.jpg,569206,maximum_weight_recommendation
10,https://m.media-amazon.com/images/I/218BCzgKxuL.jpg,348551,item_weight
11,https://m.media-amazon.com/images/I/21DZ7BAZ6-L.jpg,498074,item_volume
12,https://m.media-amazon.com/images/I/21IGmiJi-PL.jpg,953313,item_weight
13,https://m.media-amazon.com/images/I/21Is45vdL0L.jpg,965518,item_weight
14,https://m.media-amazon.com/images/I/21Raw7jSIML.jpg,957050,item_weight
15,https://m.media-amazon.com/images/I/21Vc5ixqKpS.jpg,486636,item_weight
16,https://m.media-amazon.com/images/I/21W7FvftSCL.jpg,329793,item_weight
17,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,height
18,https://m.media-amazon.com/images/I/21bfrFeArAL.jpg,601746,item_weight
19,https://m.media-amazon.com/images/I/21bwWoCpGJL.jpg,156839,height
20,https://m.media-amazon.com/images/I/21cLufe8Y5L.jpg,648011,voltage
21,https://m.media-amazon.com/images/I/21fIe0wHxDL.jpg,751532,height
22,https://m.media-amazon.com/images/I/21jOOqo0oZL.jpg,244283,height
23,https://m.media-amazon.com/images/I/21lqVGTzV1L.jpg,478357,height
24,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,height
25,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,height
26,https://m.media-amazon.com/images/I/21pFwZ8ghkL.jpg,955292,item_weight
27,https://m.media-amazon.com/images/I/21qcJWXFNkL.jpg,916768,height
28,https://m.media-amazon.com/images/I/21qleENrBBL.jpg,953313,item_weight
29,https://m.media-amazon.com/images/I/21tOerzlVML.jpg,957050,voltage
30,https://m.media-amazon.com/images/I/21twwj6e-VL.jpg,297918,item_weight
31,https://m.media-amazon.com/images/I/21vCDAVwSXS.jpg,752266,height
32,https://m.media-amazon.com/images/I/21vv80MKQEL.jpg,709627,voltage
33,https://m.media-amazon.com/images/I/21xX4tzOqKL.jpg,953313,item_weight
34,https://m.media-amazon.com/images/I/21xnCHoPZHL.jpg,156839,height
35,https://m.media-amazon.com/images/I/21ykCJJsDpL.jpg,648011,height
36,https://m.media-amazon.com/images/I/21ztnqtFNVL.jpg,752266,height
